zip,post_district,comment,region,town,lat,lng
1294,Creux-de-Genthod,,GE,Genthod,46.26376,6.16132
1294,Genthod,,GE,Genthod,46.2644048,6.1546616
1294,Malagny,,GE,Genthod,46.27075,6.15879
1295,Mies,,VD,Mies,46.3073871,6.1577497
1295,Mies-Tannay,PO box only,VD,Mies-Tannay,46.3073871,6.1577497
1295,Tannay,,VD,Tannay,46.3073871,6.1577497
1296,Coppet,,VD,Coppet,46.3223826,6.1918873
1297,Chataigneriaz,,VD,Founex,46.3360646,6.1699423
1297,Founex,,VD,Founex,46.3372556,6.1838751
1298,Bossey,,GE,Céligny,46.3508127,6.1821823
1298,Céligny,,GE,Céligny,46.3537605,6.190269
1299,Crans-près-Céligny,,VD,Crans-près-Céligny,46.364906,6.2067596
1302,Vufflens-la-Ville,,VD,Vufflens-la-Ville,46.5787989,6.539418
1303,Penthaz,,VD,Penthaz,46.5993131,6.5392512
1304,Allens,,VD,Allens,46.6167616,6.4981157
1304,Cossonay-Ville,,VD,Cossonay-Ville,46.6140944,6.507171
1304,Dizy,,VD,Dizy,46.6339032,6.4956006
1304,Senarclens,,VD,Senarclens,46.6003663,6.4869682
1305,Cossonay-Gare,,VD,Penthalaz,46.6102563,6.5256764
1305,Penthalaz,,VD,Penthalaz,46.6097989,6.5254402
1306,Daillens,,VD,Daillens,46.6205182,6.5485233
1307,Lussery,,VD,Lussery-Villars,46.6303375,6.5247429
1307,Lussery-Villars,,VD,Lussery-Villars,46.6304666,6.5249187
1308,La Chaux (Cossonay),,VD,La Chaux (Cossonay),46.6180404,6.4755846
1312,Eclépens,,VD,Eclépens,46.6525234,6.5296659
1313,Ferreyres,,VD,Ferreyres,46.6583354,6.4856196
1315,La Sarraz,,VD,La Sarraz,46.6582337,6.5126843
1316,Chevilly,,VD,Chevilly,46.6425155,6.4768334
1317,Orny,,VD,Orny,46.6673781,6.5260641
1318,Pompaples,,VD,Pompaples,46.6667994,6.5107091
1318,St-Loup,,VD,Pompaples,46.6669874,6.5038564
1321,Arnex-sur-Orbe,,VD,Arnex-sur-Orbe,46.6938865,6.5187451
1322,Croy,,VD,Croy,46.6940322,6.4771608
